period_monthly;periodo;Consumo
199511;1995-11-01;17350
199512;1995-12-01;15656
199601;1996-01-01;15642
199602;1996-02-01;15198
199603;1996-03-01;18751
199604;1996-04-01;21472
199605;1996-05-01;23533
199606;1996-06-01;26434
199607;1996-07-01;26707
199608;1996-08-01;26628
199609;1996-09-01;21661
199610;1996-10-01;21021
199611;1996-11-01;18087
199612;1996-12-01;16446
199701;1997-01-01;15199
199702;1997-02-01;15083
199703;1997-03-01;17892
199704;1997-04-01;22783
199705;1997-05-01;26638
199706;1997-06-01;27400
199707;1997-07-01;30038
199708;1997-08-01;27443
199709;1997-09-01;23876
199710;1997-10-01;21340
199711;1997-11-01;17304
199712;1997-12-01;17230
199801;1998-01-01;15470
199802;1998-02-01;12699
199803;1998-03-01;17559
199804;1998-04-01;19716
199805;1998-05-01;24440
199806;1998-06-01;25784
199807;1998-07-01;28736
199808;1998-08-01;27950
199809;1998-09-01;24358
199810;1998-10-01;22493
199811;1998-11-01;18404
199812;1998-12-01;17920
199901;1999-01-01;15155
199902;1999-02-01;15452
199903;1999-03-01;18721
199904;1999-04-01;21420
199905;1999-05-01;26418
199906;1999-06-01;27979
199907;1999-07-01;28747
199908;1999-08-01;28256
199909;1999-09-01;25069
199910;1999-10-01;21572
199911;1999-11-01;17506
199912;1999-12-01;18061
200001;2000-01-01;17216
200002;2000-02-01;15560
200003;2000-03-01;19711
200004;2000-04-01;21879
200005;2000-05-01;26151
200006;2000-06-01;29173
200007;2000-07-01;30400
200008;2000-08-01;28430
200009;2000-09-01;26627
200010;2000-10-01;22849
200011;2000-11-01;19320
200012;2000-12-01;19118
200101;2001-01-01;16819
200102;2001-02-01;15966
200103;2001-03-01;21826
200104;2001-04-01;22985
200105;2001-05-01;27019
200106;2001-06-01;28804
200107;2001-07-01;31010
200108;2001-08-01;29441
200109;2001-09-01;24771
200110;2001-10-01;21635
200111;2001-11-01;19254
200112;2001-12-01;17705
200201;2002-01-01;16140
200202;2002-02-01;14569
200203;2002-03-01;21424
200204;2002-04-01;22951
200205;2002-05-01;29048
200206;2002-06-01;31599
200207;2002-07-01;29839
200208;2002-08-01;29356
200209;2002-09-01;25630
200210;2002-10-01;24129
200211;2002-11-01;19250
200212;2002-12-01;16410
