periodo;Consumo
1995-10-31;4251
1995-11-07;4494
1995-11-14;3915
1995-11-21;3658
1995-11-28;4110
1995-12-05;3919
1995-12-12;3668
1995-12-19;4007
1995-12-26;3132
1996-01-02;2852
1996-01-09;3747
1996-01-16;3732
1996-01-23;3303
1996-01-30;3614
1996-02-06;3422
1996-02-13;3489
1996-02-20;3459
1996-02-27;4210
1996-03-05;3781
1996-03-12;4146
1996-03-19;4331
1996-03-26;4352
1996-04-02;4717
1996-04-09;4927
1996-04-16;4725
1996-04-23;5113
1996-04-30;5246
1996-05-07;5194
1996-05-14;5348
1996-05-21;5549
1996-05-28;5166
1996-06-04;5112
1996-06-11;6017
1996-06-18;6663
1996-06-25;6565
1996-07-02;6194
1996-07-09;6462
1996-07-16;6062
1996-07-23;5644
1996-07-30;5745
1996-08-06;6244
1996-08-13;6224
1996-08-20;6018
1996-08-27;5979
1996-09-03;5557
1996-09-10;5719
1996-09-17;5334
1996-09-24;4540
1996-10-01;4358
1996-10-08;5114
1996-10-15;4735
1996-10-22;5154
1996-10-29;4186
1996-11-05;4055
1996-11-12;4517
1996-11-19;4441
1996-11-26;3926
1996-12-03;4013
1996-12-10;3462
1996-12-17;3524
1996-12-24;3988
1996-12-31;3708
1997-01-07;3723
1997-01-14;3598
1997-01-21;3045
1997-01-28;3247
1997-02-04;3707
1997-02-11;3834
1997-02-18;3607
1997-02-25;3923
1997-03-04;3485
1997-03-11;4045
1997-03-18;3822
1997-03-25;4424
1997-04-01;4424
1997-04-08;4770
1997-04-15;5014
1997-04-22;5895
1997-04-29;5489
1997-05-06;5935
1997-05-13;5422
1997-05-20;6509
1997-05-27;6306
1997-06-03;5752
1997-06-10;6388
1997-06-17;6389
1997-06-24;6455
1997-07-01;6792
1997-07-08;7192
1997-07-15;6829
1997-07-22;6288
1997-07-29;6650
1997-08-05;6829
1997-08-12;6062
1997-08-19;6039
1997-08-26;6007
1997-09-02;6343
1997-09-09;5820
1997-09-16;5853
1997-09-23;5122
1997-09-30;5318
1997-10-07;4971
1997-10-14;4825
1997-10-21;4420
1997-10-28;5058
1997-11-04;4391
1997-11-11;4039
1997-11-18;4087
1997-11-25;3991
1997-12-02;4212
1997-12-09;3845
1997-12-16;3870
1997-12-23;3855
1997-12-30;3844
1998-01-06;3230
1998-01-13;3294
1998-01-20;3534
1998-01-27;3619
1998-02-03;3655
1998-02-10;3372
1998-02-17;3041
1998-02-24;2791
1998-03-03;3607
1998-03-10;4354
1998-03-17;3527
1998-03-24;4100
1998-03-31;4070
1998-04-07;4168
1998-04-14;4214
1998-04-21;4747
1998-04-28;5131
1998-05-05;4887
1998-05-12;5545
1998-05-19;5796
1998-05-26;5777
1998-06-02;5588
1998-06-09;5813
1998-06-16;6427
1998-06-23;6098
1998-06-30;5749
1998-07-07;6513
1998-07-14;6329
1998-07-21;6724
1998-07-28;6504
1998-08-04;6268
1998-08-11;6254
1998-08-18;6587
1998-08-25;6428
1998-09-01;5872
1998-09-08;5967
1998-09-15;6188
1998-09-22;5573
1998-09-29;5066
1998-10-06;5129
1998-10-13;5102
1998-10-20;5326
1998-10-27;5058
1998-11-03;4390
1998-11-10;4420
1998-11-17;4129
1998-11-24;4209
1998-12-01;4572
1998-12-08;4092
1998-12-15;3972
1998-12-22;3998
1998-12-29;4027
1999-01-05;3816
1999-01-12;3439
1999-01-19;3481
1999-01-26;3126
1999-02-02;3575
1999-02-09;3990
1999-02-16;3791
1999-02-23;3971
1999-03-02;3718
1999-03-09;4077
1999-03-16;4039
1999-03-23;4466
1999-03-30;4367
1999-04-06;4478
1999-04-13;4600
1999-04-20;5021
1999-04-27;5673
1999-05-04;5695
1999-05-11;5708
1999-05-18;5837
1999-05-25;6004
1999-06-01;6426
1999-06-08;6182
1999-06-15;6210
1999-06-22;6741
1999-06-29;6869
1999-07-06;6491
1999-07-13;6391
1999-07-20;6487
1999-07-27;6588
1999-08-03;6502
1999-08-10;6730
1999-08-17;6559
1999-08-24;6351
1999-08-31;5913
1999-09-07;6145
1999-09-14;6127
1999-09-21;5640
1999-09-28;5503
1999-10-05;5325
1999-10-12;4560
1999-10-19;5305
1999-10-26;4784
1999-11-02;4431
1999-11-09;4125
1999-11-16;4171
1999-11-23;3982
1999-11-30;4049
1999-12-07;4007
1999-12-14;4124
1999-12-21;4718
1999-12-28;3504
2000-01-04;3675
2000-01-11;4243
2000-01-18;3817
2000-01-25;3921
2000-02-01;3788
2000-02-08;3788
2000-02-15;3551
2000-02-22;3583
2000-02-29;4118
2000-03-07;3893
2000-03-14;4013
2000-03-21;4612
2000-03-28;4992
2000-04-04;4626
2000-04-11;4924
2000-04-18;5086
2000-04-25;5268
2000-05-02;5900
2000-05-09;5688
2000-05-16;5656
2000-05-23;6079
2000-05-30;6062
2000-06-06;6348
2000-06-13;6836
2000-06-20;6863
2000-06-27;7049
2000-07-04;6780
2000-07-11;7150
2000-07-18;7099
2000-07-25;6622
2000-08-01;6839
2000-08-08;6613
2000-08-15;6067
2000-08-22;6617
2000-08-29;6220
2000-09-05;6521
2000-09-12;6983
2000-09-19;5864
2000-09-26;5903
2000-10-03;5291
2000-10-10;5091
2000-10-17;5594
2000-10-24;5429
2000-10-31;4642
2000-11-07;4521
2000-11-14;4636
2000-11-21;4419
2000-11-28;4583
2000-12-05;4173
2000-12-12;4335
2000-12-19;4524
2000-12-26;4351
2001-01-02;3885
2001-01-09;3727
2001-01-16;3891
2001-01-23;3880
2001-01-30;3784
2001-02-06;4145
2001-02-13;3781
2001-02-20;3924
2001-02-27;4106
2001-03-06;4716
2001-03-13;5007
2001-03-20;5304
2001-03-27;4550
2001-04-03;5186
2001-04-10;5086
2001-04-17;5196
2001-04-24;5567
2001-05-01;5522
2001-05-08;5616
2001-05-15;5762
2001-05-22;6118
2001-05-29;6804
2001-06-05;7009
2001-06-12;6866
2001-06-19;6488
2001-06-26;6646
2001-07-03;6501
2001-07-10;7138
2001-07-17;7412
2001-07-24;7125
2001-07-31;6583
2001-08-07;6724
2001-08-14;6792
2001-08-21;6436
2001-08-28;6621
2001-09-04;6280
2001-09-11;6343
2001-09-18;5691
2001-09-25;5716
2001-10-02;5070
2001-10-09;4797
2001-10-16;4769
2001-10-23;5131
2001-10-30;4876
2001-11-06;4397
2001-11-13;4226
2001-11-20;4501
2001-11-27;4853
2001-12-04;4352
2001-12-11;4034
2001-12-18;3747
2001-12-25;4209
2002-01-01;3671
2002-01-08;3886
2002-01-15;3589
2002-01-22;3441
2002-01-29;3760
2002-02-05;3554
2002-02-12;3447
2002-02-19;3508
2002-02-26;3850
2002-03-05;4269
2002-03-12;4831
2002-03-19;5059
2002-03-26;5124
2002-04-02;4787
2002-04-09;5072
2002-04-16;5138
2002-04-23;5706
2002-04-30;5633
2002-05-07;6358
2002-05-14;6646
2002-05-21;6496
2002-05-28;6598
2002-06-04;7088
2002-06-11;7408
2002-06-18;7453
2002-06-25;7660
2002-07-02;6762
2002-07-09;6829
2002-07-16;6847
2002-07-23;6432
2002-07-30;6937
2002-08-06;6739
2002-08-13;6710
2002-08-20;6339
2002-08-27;6616
2002-09-03;6601
2002-09-10;6448
2002-09-17;6361
2002-09-24;5412
2002-10-01;5588
2002-10-08;5710
2002-10-15;5311
2002-10-22;5461
2002-10-29;5273
2002-11-05;4832
2002-11-12;3978
2002-11-19;4519
2002-11-26;4814
2002-12-03;4530
2002-12-10;3463
2002-12-17;3517
2002-12-24;3796
2002-12-31;3729
